epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,11595.4,0.59609,0.34243,0.78977,0.99729,1,0.995,0.84278,0.65597,0.35668,0.78615,0.000834822,0.000834822,0.000834822
44,11848,0.57873,0.33134,0.79171,0.99677,1,0.995,0.86184,0.59823,0.32848,0.7778,0.000820675,0.000820675,0.000820675
45,12101.4,0.58853,0.34068,0.79495,0.99495,0.99815,0.995,0.84581,0.65041,0.34375,0.78251,0.000806528,0.000806528,0.000806528
46,12364.1,0.58492,0.3379,0.79312,0.99631,1,0.995,0.85462,0.66016,0.34916,0.77999,0.00079238,0.00079238,0.00079238
47,12617.8,0.57631,0.33106,0.79104,0.99674,1,0.995,0.85459,0.6133,0.32799,0.77617,0.000778233,0.000778233,0.000778233
48,12874.3,0.58248,0.3404,0.78089,0.99757,1,0.995,0.86532,0.60182,0.31859,0.77947,0.000764086,0.000764086,0.000764086
49,13130.8,0.57849,0.33663,0.79128,0.99579,1,0.995,0.84657,0.62895,0.3338,0.78173,0.000749939,0.000749939,0.000749939
50,13385.4,0.57603,0.32495,0.79457,0.99178,1,0.995,0.86099,0.59122,0.31964,0.779,0.000735792,0.000735792,0.000735792
51,13636.9,0.58328,0.31798,0.7913,0.99622,0.99868,0.995,0.8684,0.58341,0.31963,0.77612,0.000721645,0.000721645,0.000721645
52,13889.1,0.57868,0.32098,0.79093,0.99795,1,0.995,0.86503,0.58445,0.31864,0.77535,0.000707498,0.000707498,0.000707498
53,14145,0.58207,0.3203,0.79036,0.99754,1,0.995,0.8514,0.64872,0.32572,0.78432,0.000693351,0.000693351,0.000693351
54,14396.9,0.57878,0.31572,0.79534,0.99715,0.99288,0.995,0.87208,0.57233,0.31325,0.77465,0.000679204,0.000679204,0.000679204
55,14651.9,0.57585,0.31968,0.7871,0.99683,0.99407,0.995,0.86947,0.60627,0.31524,0.77603,0.000665057,0.000665057,0.000665057
56,14904.9,0.5786,0.32005,0.79066,0.99672,1,0.995,0.87052,0.56721,0.29692,0.77451,0.000650909,0.000650909,0.000650909
57,15155.1,0.57858,0.31975,0.79839,0.99651,1,0.995,0.8692,0.60214,0.3159,0.78013,0.000636762,0.000636762,0.000636762
58,15406.2,0.56181,0.30648,0.79001,0.99744,1,0.995,0.85817,0.62012,0.32453,0.78113,0.000622615,0.000622615,0.000622615
59,15663.9,0.57626,0.31182,0.79293,0.99696,1,0.995,0.86073,0.61609,0.30991,0.77918,0.000608468,0.000608468,0.000608468
60,15925.4,0.55474,0.30535,0.78963,0.99743,1,0.995,0.86402,0.60469,0.30563,0.77968,0.000594321,0.000594321,0.000594321
